smiles,parent1_id,reaction_id,zinc_id,source,generation,parent2_id,compound_id,fitness
CN(C)C(=O)c1ccccc1NC(=S)NC(=O)C1CCCCC1,5.0,,,crossover,[1],30.0,83.0,0.8163791322317794
CN(C)C(=O)c1cccc(NC(=O)Cc2nn(C)c(=O)c3ccccc23)c1NC(=S)NC(=O)C1CCCCC1,32.0,,,crossover,[1],30.0,84.0,0.3049359464233734
Cc1c(C(=O)N2CC[C@@H](C)[C@@H](O)C2)cc(NC(=O)C(=O)NC[C@@](O)(c2cccs2)C2CC2)c2c1[nH]c(=O)n2C1CCCC1,45.0,,,crossover,[1],1.0,85.0,-2.192270290986531
COCCNC(=O)C1CSC(c2ccc([N+](=O)[O-])o2)N1Cc1ccco1,27.0,,,crossover,[1],49.0,86.0,-2.0822365721051592
CCOC1C(C)CCC(Nn2cccc2)N1C(=O)C(=O)Nc1ccc(F)cc1,0.0,,,crossover,[1],12.0,87.0,-2.0741577663333493
C[C@H]1CCCN(C(=O)C(=O)Nc2cc(-c3nc([C@@H](C)NC(=O)NCC4(CO)CC4)no3)c(F)cc2Cl)C1,43.0,,,crossover,[1],12.0,88.0,-1.5403923796525125
CN(Cc1nccs1)C(=O)C1C(C)(C)C1(C)C,15.0,,,crossover,[1],4.0,89.0,-0.1406765940616297
O=C(NCc1ccccc1)c1ccc(Cn2nnc3ccccc3c2=O)cc1,,,,initial,"[0, 1]",,8.0,1.115381143909167
[H]N(C(=O)OC1=C([H])C(OC([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])=C([H])C([H])=C1[H])C([H])([H])[H],,,,initial,"[0, 1]",,19.0,0.9229186300242547
CN(C)C(=O)c1ccccc1NC(=S)NC(=O)C1CCCCC1,,,,initial,"[0, 1]",,30.0,0.8163791322317794
CC(=O)c1ccc(NC(=O)C(=O)N[C@H](C)CCc2ccccc2)cc1,,,,initial,"[0, 1]",,14.0,0.7202285607698566
CCCn1ccnc1-c1cccc(N)c1,,,,initial,"[0, 1]",,22.0,0.4868685324748977
COc1cccc(-n2c(C)cn3c4c(=O)n(Cc5cccc(C)c5)c(=O)n(C)c4nc23)c1,,,,initial,"[0, 1]",,21.0,0.20191786873417078
Cc1ccccc1OC(=O)[C@H]1CCCN1C(=O)c1ccco1,,,,initial,"[0, 1]",,42.0,0.17512429091447723
C[C@@H]1CCC[C@@H](C)N1C(=O)c1ccc(S(=O)(=O)N2CCCC2)cc1,,,,initial,"[0, 1]",,24.0,-0.07253657688081006
C[C@@H]1CCN(C(=O)Nc2ccccc2-c2ccncc2)C[C@@H]1O,,,,initial,"[0, 1]",,18.0,-0.12058061850545443
COCCNC(=O)c1csc(NC(=O)c2ccccc2)n1,,,,initial,"[0, 1]",,49.0,0.0799257965990936
CC(=O)c1ccc(NC(=O)c2nc3c([N+](=O)[O-])cc(N4CC[C@@H](CF)C4)cc3c(=O)n2[C@H](C)CCc2ccccc2)cc1,53.0,18,ZINC000059568799,mutation,[2],,50.0,0.016451742626138244
CC(C)c1ccc(OC(=O)N(C(=S)N(C(=O)OCC(F)(F)C(F)F)C(=O)C2CCCCC2)c2ccccc2C(=O)N(C)C)cc1,50.0,12,ZINC000038363570,mutation,"[2, 3]",,51.0,1.8742492741348027
CC=C(C)C(=O)N(C[C@H]1CCCC[C@H]1O)c1cccc(-c2nccn2CCC)c1,54.0,18,ZINC000001662486,mutation,[2],,52.0,-0.6971168013893234
[N-]=[N+]=Nc1nsc(N(Cc2ccccc2)C(=O)c2ccc(Cn3nnc4ccccc4c3=O)cc2)n1,52.0,22,,mutation,[2],,53.0,0.18462257505353719
CCCCCCCCCCOC(=O)N(C(=S)NC(=O)C1CCCCC1)c1cc(Cn2nnc3ccccc3c2=O)ccc1C(=O)N(C)Cc1ccccc1,70.0,12,ZINC000002581947,mutation,"[2, 3, 4, 5]",,54.0,2.8578384746113272
CC(=O)c1ccc(N(C(=O)C(=O)N[C@H](C)CCc2ccccc2)C(=S)Nc2ccc([N+](=O)[O-])cc2C(=O)O)c(-c2ccncc2)c1,71.0,32,ZINC000016385737,mutation,[2],,55.0,0.08457091869641264
CCCn1ccnc1-c1cccc(NC(=S)N2CCC[C@@H](F)C2)c1,65.0,94,ZINC000004264639,mutation,[2],,56.0,-0.3183120124327681
Cc1cccc(OC(=O)N(C[C@@](OC(=O)[C@H]2C[C@H]2C#N)(c2cccs2)C2CC2)C(=O)C(=O)Nc2ccc(C)c(C)c2)c1,61.0,24,ZINC000141861298,mutation,[2],,57.0,-1.0620701963857824
Cc1noc(C)c1[C@@H](C)N(C(=O)C[C@H](C)S(=O)(=O)c1ccc(F)cc1)C(=S)Nc1ccc(C(O)[C@H]2CC[C@H](O)CC2)c(C(=O)O)c1,62.0,81,ZINC000307310448,mutation,[2],,58.0,-1.3709129824561046
O=C(Nc1cccc2[nH]ccc12)N(Cc1ccccc1)C(=O)c1ccc(Cn2nnc3ccccc3c2=O)cc1,8.0,31,ZINC000040448092,mutation,"[2, 3]",,59.0,1.251835590195264
CCCCOc1cccc(OC(=O)N(C)C(=O)Nc2cc(F)cc(OC)c2)c1,19.0,31,ZINC000238352194,mutation,"[2, 3, 4]",,60.0,1.2016653156885588
CN(C)C(=O)c1ccccc1NC(=S)N(C(=O)N[C@H](CS)C(=O)O)C(=O)C1CCCCC1,30.0,31,ZINC000149266798,mutation,[2],,61.0,-2.0188323916254824
CC=C(C)C(=O)N(C(=O)C1CCCCC1)C(=S)Nc1ccccc1C(=O)N(C)C,83.0,26,ZINC000100009110,mutation,[2],,62.0,-0.15936586348106907
COc1cccc(-n2c(C)cn3c4c(=O)n(Cc5ccc(-c6ccc7c(c6)C=CCC7)c(C)c5)c(=O)n(C)c4nc23)c1,72.0,79,ZINC000066312930,mutation,"[2, 3]",,63.0,0.7686045007866662
COCCNC(=O)c1csc(-n2c(-c3ccccc3)nc3c(O)ccc(-c4ccnc(OC(F)F)c4)c3c2=O)n1,57.0,67,ZINC000238630284,mutation,[2],,64.0,-0.2635234382450331
CCCn1ccnc1-c1cccc(N=[N+]=[N-])c1,22.0,8,,mutation,[2],,65.0,-0.009289115229092482
CC(=C(C)c1cc(C#N)ccn1)c1ccc(-c2nc([C@@H](C)NC(=O)NC(C)c3c(C)noc3C)no2)cc1,81.0,78,ZINC001242756578,mutation,[2],,66.0,-0.35150008330193505
CC(=O)c1ccc(NC(=O)C(=O)N(C(=O)O[C@H](Cl)C(Cl)(Cl)Cl)[C@H](C)CCc2ccccc2)cc1,14.0,12,ZINC000004262408,mutation,[2],,67.0,0.16463941829483664
CC(=O)N1C(CC(=O)Nc2cccc(C(=O)N(C)C)c2NC(=S)NC(=O)C2CCCCC2)C2CCCCC2C(=O)N1C,84.0,23,ZINC000101631299,mutation,[2],,68.0,-2.5976350913881596
CC(=O)c1ccc(NC(=O)C(=O)N(c2ccncc2O)[C@H](C)CCc2ccccc2)c(-c2ccncc2)c1,71.0,18,ZINC000002583363,mutation,[2],,69.0,0.07613259088184077
CC=C(C)C(=O)Nc1cccc(-n2c(C)cn3c4c(=O)n(Cc5cccc(C)c5)c(=O)n(C)c4nc23)c1F,54.0,,,crossover,[2],77.0,70.0,-0.5665396802288254
COc1cccc(-n2c(C)cn3c4c(=O)n(CC5CCC(C(=O)N(C)Cc6ccccc6)C(C)(NC(=S)NC(=O)C6CCCCC6)C5)c(=O)n(C)c4nc23)c1,70.0,,,crossover,[2],21.0,71.0,-1.9252872149973628
CCCCOc1cc(OC(=O)NC)ccc1C(C)=O,53.0,,,crossover,[2],19.0,72.0,-0.05606430826757269
CN(Cc1ccccc1)C(=O)c1ccc(Cn2nnc3ccccc3c2=O)cc1NC(=S)N(C(=O)OCC(F)(F)C(F)F)C(=O)C1CCCCC1,50.0,,,crossover,"[2, 3]",8.0,73.0,1.0673431088740613
COc1cccc(-n2c(C)cn3c4c(=O)n(Cc5ccc(C(=O)N(Cc6ccccc6)c6nc(Cl)ns6)c(C)c5)c(=O)n(C)c4nc23)c1,52.0,,,crossover,[2],72.0,74.0,0.2312621790113414
Cc1ccc(Cl)c(C(=O)O)c1,62.0,,,crossover,[2],21.0,75.0,0.4475324437780426
CCCCOc1cccc(-n2c(C)cn3c4c(=O)n(Cc5cccc(C)c5)c(=O)n(C)c4nc23)c1F,55.0,,,crossover,[2],77.0,76.0,0.04412358641877079
CC(=O)c1ccc(NC(=O)C(=O)N[C@H](C)CCc2cccc(C)c2)c(-c2ccncc2)c1,71.0,,,crossover,[2],74.0,77.0,0.25698416020157894
CCCn1ccnc1-c1cccc(N=C=S)c1,65.0,,,crossover,[2],49.0,78.0,-0.1946906747089927
Cc1cc(Cn2c(=O)c3c(nc4n(-c5cccc(OC(=O)N(C)C(=O)C6CC=CC6)c5)c(C)cn34)n(C)c2=O)ccc1Cl,72.0,,,crossover,[2],55.0,79.0,-0.5219096118865154
COc1cccc(-n2c(C)cn3c4c(=O)n(Cc5cccc(C)c5)c(=O)n(C)c4nc23)c1F,14.0,,,crossover,[2],77.0,80.0,-0.8823461678737018
CCCCOc1cc(Cn2nnc3ccccc3c2=O)cc(OC(=O)NC)c1C(=O)N(Cc1ccccc1)c1nc(Cl)ns1,19.0,,,crossover,[2],52.0,81.0,0.3715957119737085
CCCCOc1cccc(OC(=O)N(C)C(=O)c2ccccc2NC(=S)NC(=O)C2CCCCC2)c1,30.0,,,crossover,"[2, 3, 4]",55.0,82.0,1.6129931561612951
Cc1cc(C(=O)N(C)Cc2ccccc2)c(NC(=S)NC(=O)C2CCCCC2)cc1Cn1nnc2ccccc2c1=O,61.0,,,crossover,[2],70.0,83.0,0.7180119631648092
CN(Cc1ccccc1)C(=O)c1ccc(Cn2nnc3ccccc3c2=O)cc1NC(=S)NC(=O)C1CCCCC1,83.0,,,crossover,[2],8.0,84.0,0.6266689472970967
CCCn1ccnc1-c1cccc(N)c1C(=O)Nc1nc(C(=O)NCCOC)cs1,22.0,,,crossover,[2],49.0,85.0,-1.1360510014163472
COCCNC(=O)c1csc(NC(=O)c2cc(Cl)ccc2-c2nc([C@@H](C)NC(=O)NC(C)c3c(C)noc3C)no2)n1,81.0,,,crossover,[2],49.0,86.0,-1.4718228712639143
Cc1cccc(Cn2c(=O)c3c(nc4n(C5(C)CCCC(OC(=O)N(C[C@@](O)(c6cccs6)C6CC6)C(=O)C(=O)Nc6ccc(C)c(C)c6)C5)c(C)cn34)n(C)c2=O)c1,74.0,,,crossover,[2],61.0,87.0,-1.550325100509213
CCCCOc1cccc(OC(=O)N(C)C(=O)c2cccc(NC(=O)Cc3nn(C)c(=O)c4ccccc34)c2NC(=S)NC(=O)C2CCCCC2)c1,84.0,,,crossover,"[2, 3]",55.0,88.0,0.9871075431680484
Cc1ccc(C)c(OC(=O)[C@H]2CCCN2C(=O)c2ccco2)c1,42.0,,,crossover,[2],61.0,89.0,-0.6527963951686873
CC(=O)c1ccc(NC(=O)c2nc3c([N+](=O)[O-])cc(Cl)cc3c(=O)n2[C@H](C)CCc2ccccc2)cc1,14.0,44,ZINC000004748127,mutation,"[1, 2, 3]",,53.0,0.8823935840642128
O=C(c1ccccc1)N(Cc1ccccc1)C(=O)c1ccc(Cn2nnc3ccccc3c2=O)cc1,8.0,26,ZINC000198622977,mutation,"[1, 2, 3]",,66.0,1.009770547988891
CN(Cc1ccccc1)C(=O)c1ccc(Cn2nnc3ccccc3c2=O)cc1NC(=S)NC(=O)C1CCCCC1,8.0,,,crossover,"[1, 2]",30.0,70.0,0.6266689472970967
O=C(c1ccc(Cn2nnc3ccccc3c2=O)cc1)N(Cc1ccccc1)c1nc(Cl)ns1,8.0,18,ZINC000004254807,mutation,"[1, 2]",,52.0,0.42223481760695
CC=C(C)C(=O)Nc1cccc(-c2nccn2CCC)c1,22.0,26,ZINC000059727325,mutation,"[1, 2]",,54.0,0.39865188397742624
CN(C)C(=O)c1ccccc1NC(=S)N(C(=O)OCC(F)(F)C(F)F)C(=O)C1CCCCC1,30.0,12,ZINC000034601589,mutation,"[1, 2]",,50.0,0.0818893941083707
CC(=O)c1ccc(NC(=O)C(=O)N[C@H](C)CCc2ccccc2)c(-c2ccncc2)c1,14.0,,,crossover,"[1, 2]",18.0,71.0,0.13261182798955462
Cc1cccc(OC(=O)N(C[C@@](O)(c2cccs2)C2CC2)C(=O)C(=O)Nc2ccc(C)c(C)c2)c1,1.0,12,ZINC000002582037,mutation,"[1, 2]",,61.0,-0.22884727196542293
CCCCOc1cccc(OC(=O)N(C)C(=O)C2CC=CC2)c1,19.0,23,ZINC000306424298,mutation,"[1, 2]",,55.0,0.04574589310382515
Cc1noc(C)c1[C@@H](C)N(C(=O)C[C@H](C)S(=O)(=O)c1ccc(F)cc1)C(=S)Nc1ccc(Cl)c(C(=O)O)c1,16.0,32,ZINC000031829452,mutation,"[1, 2]",,62.0,-0.40896182293314487
CCCCOc1cccc(OC(=O)N(C)C(=O)N(C(=O)[C@H](F)Cl)c2cc(F)cc(OC)c2)c1,60.0,26,ZINC000199502584,mutation,[3],,100.0,-0.424911944565465
O=C1NC[C@@H](C(=O)N(C(=O)N(Cc2ccccc2)C(=O)c2ccc(Cn3nnc4ccccc4c3=O)cc2)c2cccc3[nH]ccc23)O1,59.0,23,ZINC000006379707,mutation,[3],,101.0,-1.4725577522043833
CCCCCCCCCCOC(=O)N(C(=S)N(C(=O)O[C@@H](C)C(F)(F)F)C(=O)C1CCCCC1)c1cc(Cn2nnc3ccccc3c2=O)ccc1C(=O)N(C)Cc1ccccc1,54.0,12,ZINC000116208605,mutation,"[3, 4]",,102.0,1.265009875236985
CCCCOc1cccc(OC(=O)N(C)C(=O)c2ccccc2NC(=S)N(C(=O)O[C@@H]2CCS(=O)(=O)C2)C(=O)C2CCCCC2)c1,82.0,12,ZINC000003866002,mutation,[3],,103.0,-0.6662781808515834
