smiles,parent1_id,reaction_id,zinc_id,source,generation,parent2_id,compound_id,fitness
CC(C)C(C)CNC(=O)N1CCO[C@@H](CC(=O)[O-])C1,0.0,,,crossover,[1],49.0,87.0,-0.1461793416430183
O=S(=O)(/N=C(\[O-])[C@@H]1CCC[NH+]1Cc1ccccc1)c1ccc(Cl)c[nH+]1,22.0,,,crossover,[1],1.0,88.0,-1.842845522001517
C#CCN1CCN(C(=O)NC2CC[NH+]([C@@H]3CCCC[C@H]3O)CC2)CC1,33.0,,,crossover,[1],23.0,89.0,-1.5069726044498974
COC(=O)CCCO,,,,initial,"[0, 1, 2]",,8.0,1.8424019594017247
Cc1ccccc1-n1nnnc1SCC(=O)c1c(N)n(C)c(=O)n(C)c1=O,,,,initial,"[0, 1]",,29.0,1.2010097972849842
Cn1c(=O)c2c(ncn2CC(=O)NCc2ccc(Cl)nc2)n(C)c1=O,,,,initial,"[0, 1]",,9.0,1.1171835528884715
COc1ccc(/C=N/NC(=O)c2cc(C)nn2C)c(C(=O)[O-])c1OC,,,,initial,"[0, 1]",,5.0,0.7394952948311421
Cc1noc([C@@H]2CN(CC(=O)N(C)C)CCO2)n1,,,,initial,"[0, 1]",,14.0,0.46134197705523594
O=C(Cn1nc(-n2cncn2)ccc1=O)NCC(F)(F)F,,,,initial,"[0, 1]",,1.0,0.5849891003912806
CCOC(=O)[C@H](C(=O)OC)[C@@H]1CCS(=O)(=O)C1,,,,initial,"[0, 1]",,38.0,0.11880947156617547
CC(C)NC1=NC(N)=NC(=O)N1,,,,initial,"[0, 1]",,19.0,0.20254831005765192
O=C([O-])CCCCC(=O)NC(=O)NC1CC1,,,,initial,"[0, 1]",,41.0,0.37983124523547473
COC(=O)c1cc(S(=O)(=O)N2CC[NH+](CC(C)C)CC2)oc1C,,,,initial,"[0, 1]",,31.0,-0.21872396061635627
Cc1ccccc1-n1nnnc1SCC1(c2c(N)n(C)c(=O)n(C)c2=O)OC1CNc1cccnc1C,52.0,3,,mutation,[2],,50.0,-0.9615490496355643
C[C@H](C(=O)Nc1nnnn1CCCC(=O)OCC(=O)Nc1ccc(Cl)cn1)c1cccs1,73.0,73,ZINC000265710321,mutation,"[2, 3]",,51.0,1.1541123797750703
COC(=O)CCCN=[N+]=[N-],8.0,6,,mutation,[2],,52.0,0.8434165090443853
O=C(CCc1ccco1)OCCCc1nc([C@H]2CCCOC2)n[nH]1,67.0,52,ZINC000062351314,mutation,"[2, 3]",,53.0,1.1430912104872162
Cc1ccccc1-n1nnnc1SCC(=O)c1c(Nc2cc(C(N)=O)ccn2)n(C)c(=O)n(C)c1=O,80.0,18,ZINC000000154099,mutation,[2],,54.0,0.11843653212614141
CC(C)CS(=O)(=O)N1CCC(SC(=O)CCCCC(=O)NC(=O)NC2CC2)CC1,54.0,84,ZINC000118423242,mutation,"[2, 3]",,55.0,1.4029199599789166
CCCCCCOC(=O)N(C(=N)[C@H](F)CC)C(=O)c1c(C=NNC(=O)c2cc(C)nn2C)ccc(OC)c1OC,55.0,12,ZINC000002034204,mutation,"[2, 3, 4]",,56.0,1.8891336219767494
Cc1ccccc1-n1nnnc1SCC(=O)c1c(NC(=O)N[C@@H]2C[C@@H]2C)n(C)c(=O)n(C)c1=O,29.0,31,ZINC000019518772,mutation,[2],,57.0,-0.5154275301512325
COc1ccc2c(C)c(NC(=S)Nc3c(C(=O)CSc4nnnn4-c4ccccc4C)c(=O)n(C)c(=O)n3C)c(=O)oc2c1,70.0,32,ZINC000001872064,mutation,"[2, 3]",,58.0,1.2738028230995795
NCCC1CN(C(=O)C(F)(F)F)CN1,50.0,23,ZINC000000388081,mutation,[2],,59.0,-1.68022589482921
CNc1ccc(Nc2nc(NC(C)C)[nH]c(=O)n2)cc1-c1nnn(C[C@H]2CS2)n1,63.0,46,ZINC000004262212,mutation,[2],,60.0,-0.309684182656031
O=C(CN1C(=O)CCC(n2cncn2)N1C(=O)Oc1ccc(OC(=O)Cl)cc1)NCC(F)(F)F,74.0,12,ZINC000101021187,mutation,[2],,61.0,0.2166955411621233
