smiles,parent1_id,reaction_id,zinc_id,source,generation,parent2_id,compound_id,fitness
Cc1ccc(C#N)c(COC(C)C)c1,29.0,,,crossover,[1],46.0,84.0,0.34668977037626436
COC(=O)CC(NC(CO)c1ccco1)c1cccc(Cl)c1Cl,12.0,,,crossover,[1],24.0,85.0,-0.6998349593718776
CC[C@@H](C)CC(=O)NC[C@H]1Cc2cc(NC(C)=O)cc(-c3ccncc3)c2O1,44.0,,,crossover,[1],15.0,86.0,-0.5501606895835894
CC[C@@H](C)CC(=O)NC[C@H]1Cc2cccc(-c3ccncc3)c2O1,24.0,,,crossover,[1],44.0,87.0,-0.2748095913251109
CCn1cc(NC(=O)c2cc(NC(=O)CN(C)c3nc(C(F)(F)F)cs3)c(OCc3nnnn3C(C)C)cc2N2CCOCC2)cn1,18.0,,,crossover,[1],14.0,88.0,-0.5641701148412063
CC[C@@H](C)CC(=O)NC[C@H]1CC2CC(c3nn(-c4ccccc4)cc3[C@H]3NC(=O)NC3=O)CCC2(F)O1,2.0,,,crossover,[1],44.0,89.0,-2.7687391746033563
COc1ccc2nc(Cl)c(CN(Cc3ccc(F)cc3)C(=O)C3CC3)cc2c1,,,,initial,"[0, 1, 2, 3, 4]",,36.0,2.558802703337686
Cc1ccc(-n2c(SCC(=O)N3CCCC[C@H]3C)nnc2-c2ccccc2)cc1,,,,initial,"[0, 1, 2, 3]",,21.0,1.7980763628696361
COc1ccc(Br)cc1S(=O)(=O)N[C@H](c1ccccc1)c1ccccn1,,,,initial,"[0, 1]",,4.0,0.9325293081964909
Cc1ccc(/C=C/CC(=O)NCc2ccc(Cn3cncn3)cc2)cc1,,,,initial,"[0, 1]",,46.0,0.8205786745472193
COCc1cccc(N[C@@H](C)C(=O)Nc2ccc(F)c(F)c2F)c1,,,,initial,"[0, 1]",,5.0,0.698437852529662
O=Cc1ccc(-c2cccc(C(=O)NC3CC3)c2)cc1O,,,,initial,"[0, 1]",,39.0,0.5518673157860619
CC(C)OCc1ccccc1C#N,,,,initial,"[0, 1]",,29.0,0.28767207455887833
C[C@@H](C(=O)N[C@@H](c1ccccc1)C(F)(F)F)c1ccsc1,,,,initial,"[0, 1]",,27.0,0.39649735161590355
CN(CC(=O)Nc1ccc(N2CCOCC2)cc1)c1nc(C(F)(F)F)cs1,,,,initial,"[0, 1]",,14.0,0.21278331525864735
COc1cccc([C@H]2[C@H](N3C(=O)c4ccccc4C3=O)C(=O)N2c2cccc(C)c2)c1,,,,initial,"[0, 1]",,48.0,0.0677847706787894
